учитель teacher
водитель driver
рабочий worker
инженер engineer
врач  doctor
юрист lawyer
журналист journalist
медсестра nurse
больной sick
официант waiter
бухгалтер accountant
художник artist
музыкант musician
актер actor
студент student
ученик pupil
животное animal
кошка cat
собака dog
птица bird
белка squirrel
волк wolf
гусь goose
жираф giraffe
заяц rabbit
корова cow
крыса rat
лиса fox
лошадь horse
лягушка frog 
медведь bear
мышь mouse
обезьяна monkey
свинья pig
слон elephant
утка duck
страна country
Россия  Russia
шея neck
Англия England
город city
рот mouth
дом home
здание building
место place
вход entrance
выход exit
центр center
двор yard
крыша roof
забор fence
участок land
поселок village
школа school
университет university
театр theater
церковь church
ресторан restaurant
кафе cafe
гостиница hotel
банк bank
кинотеатр cinema
больница hospital
полиция police
одежда clothes
станция station
аэропорт airport
магазин shop
аптека pharmacy
рынок market
офис  office
компания company
фабрика factory
площадь square
улица street
дорога road 
перекрёсток crossroads
остановка stop
тротуар sidewalk
тропинка path
сад  garden
парк park
мост bridge
река river
лес forest
поле field
гора mountain
озеро lake
море sea
океан ocean
побережье coast
пляж beach
песок sand
остров island
граница border
таможня customs
мусор garbage
тратить waste
камень stone
растение plant
дерево tree
трава grass
цветок flower
лист leaf
квартира flat
комната room
чемодан suitcase
спальня bedroom
ванная bathroom
душ shower
туалет toilet
кухня kitchen
коридор hall
балкон balcony
этаж floor
потолок ceiling
стена wall
лестница stairs
дверь door
окно window
подоконник windowsill
штора curtain
выключатель switch
розетка socket
кран faucet
труба pipe
подарок present
мебель furniture
стол table
стул chair
кресло armchair
диван sofa
кровать bed
автобус bus 
шкаф cabinet
полка shelf
зеркало mirror
ковер carpet
холодильник fridge
микроволновка microwave
духовка oven
плита stove
еда food
хлеб bread
масло butter
сыр cheese
сосиска sausage
ветчина ham
мясо meat
говядина beef
свинина  pork
ягненок  lamb
курица chicken
котлета  cutlet
рыба fish
яйцо  egg
салат salad
гриб mushroom
кукуруза corn
каша porridge
овсянка oatmeal
суп soup
бутерброд sandwich
рис rice
лапша noodles
мука flour
специя spice
перец pepper
соль salt
лук onion
чеснок garlic
соус sauce
овощи vegetables
картофель potatoes
морковь carrot
свекла beet
помидор tomato
огурец cucumber
капуста cabbage
кабачок squash
баклажан eggplant
бобы beans
горох pea
орех nut
фрукт fruit
яблоко apple 
груша pear
банан banana
ягода berry
земляника strawberry
малина raspberry 
вишня cherry
слива plum
виноград grape
абрикос apricot
персик peach
дыня melon
арбуз watermelon
тыква pumpkin
мандарин mandarin
салфетка napkin
